"replicate" "rate" "data" "gamma" "nu"
"146" "2" 0.776371308016878 "train" 1e-06 0.05
"147" "2" 0.619791666666667 "kif" 1e-06 0.05
"148" "2" 0.0946502057613169 "test" 1e-06 0.1
"149" "2" 0.0864978902953586 "train" 1e-06 0.1
"150" "2" 0.0125 "kif" 1e-06 0.1
"151" "2" 0.481481481481481 "test" 1e-06 0.2
"152" "2" 0.451476793248945 "train" 1e-06 0.2
"153" "2" 0.194791666666667 "kif" 1e-06 0.2
"154" "2" 0.944444444444444 "test" 1e-05 0.05
"155" "2" 0.928270042194093 "train" 1e-05 0.05
"156" "2" 0.794791666666667 "kif" 1e-05 0.05
"157" "2" 0.89917695473251 "test" 1e-05 0.1
"158" "2" 0.883966244725738 "train" 1e-05 0.1
"159" "2" 0.477083333333333 "kif" 1e-05 0.1
"160" "2" 0.835390946502058 "test" 1e-05 0.2
"161" "2" 0.79535864978903 "train" 1e-05 0.2
"162" "2" 0.415625 "kif" 1e-05 0.2
"163" "2" 0.944444444444444 "test" 1e-04 0.05
"164" "2" 0.928270042194093 "train" 1e-04 0.05
"165" "2" 0.784375 "kif" 1e-04 0.05
"166" "2" 0.897119341563786 "test" 1e-04 0.1
"167" "2" 0.881856540084388 "train" 1e-04 0.1
"168" "2" 0.473958333333333 "kif" 1e-04 0.1
"169" "2" 0.833333333333333 "test" 1e-04 0.2
"170" "2" 0.780590717299578 "train" 1e-04 0.2
"171" "2" 0.404166666666667 "kif" 1e-04 0.2
"172" "2" 0.944444444444444 "test" 0.001 0.05
"173" "2" 0.932489451476793 "train" 0.001 0.05
"174" "2" 0.736458333333333 "kif" 0.001 0.05
"175" "2" 0.897119341563786 "test" 0.001 0.1
"176" "2" 0.881856540084388 "train" 0.001 0.1
"177" "2" 0.465625 "kif" 0.001 0.1
"178" "2" 0.833333333333333 "test" 0.001 0.2
"179" "2" 0.782700421940928 "train" 0.001 0.2
"180" "2" 0.403125 "kif" 0.001 0.2
"181" "2" 0.948559670781893 "test" 0.01 0.05
"182" "2" 0.930379746835443 "train" 0.01 0.05
"183" "2" 0.547916666666667 "kif" 0.01 0.05
"184" "2" 0.893004115226337 "test" 0.01 0.1
"185" "2" 0.879746835443038 "train" 0.01 0.1
"186" "2" 0.459375 "kif" 0.01 0.1
"187" "2" 0.843621399176955 "test" 0.01 0.2
"188" "2" 0.784810126582278 "train" 0.01 0.2
"189" "2" 0.397916666666667 "kif" 0.01 0.2
"190" "2" 0.925925925925926 "test" 0.1 0.05
"191" "2" 0.930379746835443 "train" 0.1 0.05
"192" "2" 0.408333333333333 "kif" 0.1 0.05
"193" "2" 0.893004115226337 "test" 0.1 0.1
"194" "2" 0.877637130801688 "train" 0.1 0.1
"195" "2" 0.364583333333333 "kif" 0.1 0.1
"196" "2" 0.806584362139918 "test" 0.1 0.2
"197" "2" 0.784810126582278 "train" 0.1 0.2
"198" "2" 0.271875 "kif" 0.1 0.2
"199" "2" 0.864197530864197 "test" 1 0.05
"200" "2" 0.915611814345992 "train" 1 0.05
"201" "2" 0.148958333333333 "kif" 1 0.05
"202" "2" 0.845679012345679 "test" 1 0.1
"203" "2" 0.871308016877637 "train" 1 0.1
"204" "2" 0.148958333333333 "kif" 1 0.1
"205" "2" 0.790123456790123 "test" 1 0.2
"206" "2" 0.780590717299578 "train" 1 0.2
"207" "2" 0.065625 "kif" 1 0.2
"208" "2" 0.473251028806584 "test" 10 0.05
"209" "2" 0.734177215189873 "train" 10 0.05
"210" "2" 0.00208333333333333 "kif" 10 0.05
"211" "2" 0.475308641975309 "test" 10 0.1
"212" "2" 0.677215189873418 "train" 10 0.1
"213" "2" 0.00208333333333333 "kif" 10 0.1
"214" "2" 0.475308641975309 "test" 10 0.2
"215" "2" 0.721518987341772 "train" 10 0.2
"216" "2" 0.00208333333333333 "kif" 10 0.2
"217" "2" 0.0288065843621399 "test" 100 0.05
"218" "2" 0.491561181434599 "train" 100 0.05
"219" "2" 0.00104166666666667 "kif" 100 0.05
"220" "2" 0.0288065843621399 "test" 100 0.1
"221" "2" 0.563291139240506 "train" 100 0.1
"222" "2" 0.00104166666666667 "kif" 100 0.1
"223" "2" 0.0288065843621399 "test" 100 0.2
"224" "2" 0.476793248945148 "train" 100 0.2
"225" "2" 0.00104166666666667 "kif" 100 0.2
"226" "2" 0 "test" 1000 0.05
"227" "2" 0.419831223628692 "train" 1000 0.05
"228" "2" 0 "kif" 1000 0.05
"229" "2" 0 "test" 1000 0.1
"230" "2" 0.630801687763713 "train" 1000 0.1
"231" "2" 0 "kif" 1000 0.1
"232" "2" 0 "test" 1000 0.2
"233" "2" 0.689873417721519 "train" 1000 0.2
"234" "2" 0 "kif" 1000 0.2
"235" "2" 0 "test" 10000 0.05
"236" "2" 0.204641350210970 "train" 10000 0.05
"237" "2" 0 "kif" 10000 0.05
"238" "2" 0 "test" 10000 0.1
"239" "2" 0.39873417721519 "train" 10000 0.1
"240" "2" 0 "kif" 10000 0.1
"241" "2" 0 "test" 10000 0.2
"242" "2" 0.675105485232067 "train" 10000 0.2
"243" "2" 0 "kif" 10000 0.2
"244" "2" 0 "test" 1e+05 0.05
"245" "2" 0.202531645569620 "train" 1e+05 0.05
"246" "2" 0 "kif" 1e+05 0.05
"247" "2" 0 "test" 1e+05 0.1
"248" "2" 0.39662447257384 "train" 1e+05 0.1
"249" "2" 0 "kif" 1e+05 0.1
"250" "2" 0 "test" 1e+05 0.2
"251" "2" 0.784810126582278 "train" 1e+05 0.2
"252" "2" 0 "kif" 1e+05 0.2
"253" "3" 0.0289532293986637 "test" 1e-08 0.05
"254" "3" 0.0215264187866928 "train" 1e-08 0.05
"255" "3" 0 "kif" 1e-08 0.05
"256" "3" 0.888641425389755 "test" 1e-08 0.1
"257" "3" 0.886497064579256 "train" 1e-08 0.1
"258" "3" 0.494791666666667 "kif" 1e-08 0.1
"259" "3" 0.732739420935412 "test" 1e-08 0.2
"260" "3" 0.690802348336595 "train" 1e-08 0.2
"261" "3" 0.220833333333333 "kif" 1e-08 0.2
"262" "3" 0.349665924276169 "test" 1e-07 0.05
"263" "3" 0.291585127201566 "train" 1e-07 0.05
"264" "3" 0.00729166666666667 "kif" 1e-07 0.05
"265" "3" 0.697104677060134 "test" 1e-07 0.1
"266" "3" 0.653620352250489 "train" 1e-07 0.1
"267" "3" 0.222916666666667 "kif" 1e-07 0.1
"268" "3" 0.808463251670379 "test" 1e-07 0.2
"269" "3" 0.804305283757339 "train" 1e-07 0.2
"270" "3" 0.340625 "kif" 1e-07 0.2
"271" "3" 0.648106904231626 "test" 1e-06 0.05
"272" "3" 0.692759295499021 "train" 1e-06 0.05
"273" "3" 0.510416666666667 "kif" 1e-06 0.05
"274" "3" 0.182628062360802 "test" 1e-06 0.1
"275" "3" 0.221135029354207 "train" 1e-06 0.1
"276" "3" 0.01875 "kif" 1e-06 0.1
"277" "3" 0.824053452115813 "test" 1e-06 0.2
"278" "3" 0.831702544031311 "train" 1e-06 0.2
"279" "3" 0.384375 "kif" 1e-06 0.2
"280" "3" 0.926503340757238 "test" 1e-05 0.05
"281" "3" 0.941291585127202 "train" 1e-05 0.05
"282" "3" 0.925 "kif" 1e-05 0.05
"283" "3" 0.866369710467706 "test" 1e-05 0.1
"284" "3" 0.894324853228963 "train" 1e-05 0.1
"285" "3" 0.679166666666667 "kif" 1e-05 0.1
"286" "3" 0.78173719376392 "test" 1e-05 0.2
"287" "3" 0.792563600782779 "train" 1e-05 0.2
"288" "3" 0.314583333333333 "kif" 1e-05 0.2
"289" "3" 0.926503340757238 "test" 1e-04 0.05
"290" "3" 0.941291585127202 "train" 1e-04 0.05
"291" "3" 0.922916666666667 "kif" 1e-04 0.05
"292" "3" 0.864142538975501 "test" 1e-04 0.1
"293" "3" 0.89041095890411 "train" 1e-04 0.1
"294" "3" 0.664583333333333 "kif" 1e-04 0.1
"295" "3" 0.779510022271715 "test" 1e-04 0.2
"296" "3" 0.792563600782779 "train" 1e-04 0.2
"297" "3" 0.314583333333333 "kif" 1e-04 0.2
"298" "3" 0.924276169265033 "test" 0.001 0.05
"299" "3" 0.943248532289628 "train" 0.001 0.05
"300" "3" 0.9125 "kif" 0.001 0.05
"301" "3" 0.864142538975501 "test" 0.001 0.1
"302" "3" 0.89041095890411 "train" 0.001 0.1
"303" "3" 0.655208333333333 "kif" 0.001 0.1
"304" "3" 0.783964365256125 "test" 0.001 0.2
"305" "3" 0.790606653620352 "train" 0.001 0.2
"306" "3" 0.307291666666667 "kif" 0.001 0.2
"307" "3" 0.922048997772829 "test" 0.01 0.05
"308" "3" 0.937377690802348 "train" 0.01 0.05
"309" "3" 0.816666666666667 "kif" 0.01 0.05
"310" "3" 0.88195991091314 "test" 0.01 0.1
"311" "3" 0.89041095890411 "train" 0.01 0.1
"312" "3" 0.547916666666667 "kif" 0.01 0.1
"313" "3" 0.783964365256125 "test" 0.01 0.2
"314" "3" 0.792563600782779 "train" 0.01 0.2
"315" "3" 0.285416666666667 "kif" 0.01 0.2
"316" "3" 0.935412026726058 "test" 0.1 0.05
"317" "3" 0.941291585127202 "train" 0.1 0.05
"318" "3" 0.432291666666667 "kif" 0.1 0.05
"319" "3" 0.88641425389755 "test" 0.1 0.1
"320" "3" 0.892367906066536 "train" 0.1 0.1
"321" "3" 0.371875 "kif" 0.1 0.1
"322" "3" 0.808463251670379 "test" 0.1 0.2
"323" "3" 0.788649706457926 "train" 0.1 0.2
"324" "3" 0.223958333333333 "kif" 0.1 0.2
"325" "3" 0.913140311804009 "test" 1 0.05
"326" "3" 0.925636007827789 "train" 1 0.05
"327" "3" 0.214583333333333 "kif" 1 0.05
"328" "3" 0.87750556792873 "test" 1 0.1
"329" "3" 0.888454011741683 "train" 1 0.1
"330" "3" 0.185416666666667 "kif" 1 0.1
"331" "3" 0.808463251670379 "test" 1 0.2
"332" "3" 0.790606653620352 "train" 1 0.2
"333" "3" 0.0354166666666667 "kif" 1 0.2
"334" "3" 0.599109131403118 "test" 10 0.05
"335" "3" 0.784735812133072 "train" 10 0.05
"336" "3" 0.003125 "kif" 10 0.05
"337" "3" 0.599109131403118 "test" 10 0.1
"338" "3" 0.776908023483366 "train" 10 0.1
"339" "3" 0.003125 "kif" 10 0.1
"340" "3" 0.599109131403118 "test" 10 0.2
"341" "3" 0.753424657534247 "train" 10 0.2
"342" "3" 0.003125 "kif" 10 0.2
"343" "3" 0.0757238307349666 "test" 100 0.05
"344" "3" 0.545988258317025 "train" 100 0.05
"345" "3" 0 "kif" 100 0.05
"346" "3" 0.0757238307349666 "test" 100 0.1
"347" "3" 0.544031311154599 "train" 100 0.1
"348" "3" 0 "kif" 100 0.1
"349" "3" 0.0757238307349666 "test" 100 0.2
"350" "3" 0.452054794520548 "train" 100 0.2
"351" "3" 0 "kif" 100 0.2
"352" "3" 0 "test" 1000 0.05
"353" "3" 0.682974559686888 "train" 1000 0.05
"354" "3" 0 "kif" 1000 0.05
"355" "3" 0 "test" 1000 0.1
"356" "3" 0.426614481409002 "train" 1000 0.1
"357" "3" 0 "kif" 1000 0.1
"358" "3" 0 "test" 1000 0.2
"359" "3" 0.557729941291585 "train" 1000 0.2
"360" "3" 0 "kif" 1000 0.2
"361" "3" 0 "test" 10000 0.05
"362" "3" 0.207436399217221 "train" 10000 0.05
"363" "3" 0 "kif" 10000 0.05
"364" "3" 0 "test" 10000 0.1
"365" "3" 0.383561643835616 "train" 10000 0.1
"366" "3" 0 "kif" 10000 0.1
"367" "3" 0 "test" 10000 0.2
"368" "3" 0.790606653620352 "train" 10000 0.2
"369" "3" 0 "kif" 10000 0.2
"370" "3" 0 "test" 1e+05 0.05
"371" "3" 0.223091976516634 "train" 1e+05 0.05
"372" "3" 0 "kif" 1e+05 0.05
"373" "3" 0 "test" 1e+05 0.1
"374" "3" 0.414872798434442 "train" 1e+05 0.1
"375" "3" 0 "kif" 1e+05 0.1
"376" "3" 0 "test" 1e+05 0.2
"377" "3" 0.792563600782779 "train" 1e+05 0.2
"378" "3" 0 "kif" 1e+05 0.2
