"replicate" "rate" "data" "gamma" "nu"
"144" "2" 0.721518987341772 "train" 10 0.2
"145" "2" 0.0288065843621399 "test" 100 0.05
"146" "2" 0.491561181434599 "train" 100 0.05
"147" "2" 0.0288065843621399 "test" 100 0.1
"148" "2" 0.563291139240506 "train" 100 0.1
"149" "2" 0.0288065843621399 "test" 100 0.2
"150" "2" 0.476793248945148 "train" 100 0.2
"151" "2" 0 "test" 1000 0.05
"152" "2" 0.419831223628692 "train" 1000 0.05
"153" "2" 0 "test" 1000 0.1
"154" "2" 0.630801687763713 "train" 1000 0.1
"155" "2" 0 "test" 1000 0.2
"156" "2" 0.689873417721519 "train" 1000 0.2
"157" "2" 0 "test" 10000 0.05
"158" "2" 0.204641350210970 "train" 10000 0.05
"159" "2" 0 "test" 10000 0.1
"160" "2" 0.39873417721519 "train" 10000 0.1
"161" "2" 0 "test" 10000 0.2
"162" "2" 0.675105485232067 "train" 10000 0.2
"163" "2" 0 "test" 1e+05 0.05
"164" "2" 0.202531645569620 "train" 1e+05 0.05
"165" "2" 0 "test" 1e+05 0.1
"166" "2" 0.39662447257384 "train" 1e+05 0.1
"167" "2" 0 "test" 1e+05 0.2
"168" "2" 0.784810126582278 "train" 1e+05 0.2
"169" "3" 0.0289532293986637 "test" 1e-08 0.05
"170" "3" 0.0215264187866928 "train" 1e-08 0.05
"171" "3" 0.888641425389755 "test" 1e-08 0.1
"172" "3" 0.886497064579256 "train" 1e-08 0.1
"173" "3" 0.732739420935412 "test" 1e-08 0.2
"174" "3" 0.690802348336595 "train" 1e-08 0.2
"175" "3" 0.349665924276169 "test" 1e-07 0.05
"176" "3" 0.291585127201566 "train" 1e-07 0.05
"177" "3" 0.697104677060134 "test" 1e-07 0.1
"178" "3" 0.653620352250489 "train" 1e-07 0.1
"179" "3" 0.808463251670379 "test" 1e-07 0.2
"180" "3" 0.804305283757339 "train" 1e-07 0.2
"181" "3" 0.648106904231626 "test" 1e-06 0.05
"182" "3" 0.692759295499021 "train" 1e-06 0.05
"183" "3" 0.182628062360802 "test" 1e-06 0.1
"184" "3" 0.221135029354207 "train" 1e-06 0.1
"185" "3" 0.824053452115813 "test" 1e-06 0.2
"186" "3" 0.831702544031311 "train" 1e-06 0.2
"187" "3" 0.926503340757238 "test" 1e-05 0.05
"188" "3" 0.941291585127202 "train" 1e-05 0.05
"189" "3" 0.866369710467706 "test" 1e-05 0.1
"190" "3" 0.894324853228963 "train" 1e-05 0.1
"191" "3" 0.78173719376392 "test" 1e-05 0.2
"192" "3" 0.792563600782779 "train" 1e-05 0.2
"193" "3" 0.926503340757238 "test" 1e-04 0.05
"194" "3" 0.941291585127202 "train" 1e-04 0.05
"195" "3" 0.864142538975501 "test" 1e-04 0.1
"196" "3" 0.89041095890411 "train" 1e-04 0.1
"197" "3" 0.779510022271715 "test" 1e-04 0.2
"198" "3" 0.792563600782779 "train" 1e-04 0.2
"199" "3" 0.924276169265033 "test" 0.001 0.05
"200" "3" 0.943248532289628 "train" 0.001 0.05
"201" "3" 0.864142538975501 "test" 0.001 0.1
"202" "3" 0.89041095890411 "train" 0.001 0.1
"203" "3" 0.783964365256125 "test" 0.001 0.2
"204" "3" 0.790606653620352 "train" 0.001 0.2
"205" "3" 0.922048997772829 "test" 0.01 0.05
"206" "3" 0.937377690802348 "train" 0.01 0.05
"207" "3" 0.88195991091314 "test" 0.01 0.1
"208" "3" 0.89041095890411 "train" 0.01 0.1
"209" "3" 0.783964365256125 "test" 0.01 0.2
"210" "3" 0.792563600782779 "train" 0.01 0.2
"211" "3" 0.935412026726058 "test" 0.1 0.05
"212" "3" 0.941291585127202 "train" 0.1 0.05
"213" "3" 0.88641425389755 "test" 0.1 0.1
"214" "3" 0.892367906066536 "train" 0.1 0.1
"215" "3" 0.808463251670379 "test" 0.1 0.2
"216" "3" 0.788649706457926 "train" 0.1 0.2
"217" "3" 0.913140311804009 "test" 1 0.05
"218" "3" 0.925636007827789 "train" 1 0.05
"219" "3" 0.87750556792873 "test" 1 0.1
"220" "3" 0.888454011741683 "train" 1 0.1
"221" "3" 0.808463251670379 "test" 1 0.2
"222" "3" 0.790606653620352 "train" 1 0.2
"223" "3" 0.599109131403118 "test" 10 0.05
"224" "3" 0.784735812133072 "train" 10 0.05
"225" "3" 0.599109131403118 "test" 10 0.1
"226" "3" 0.776908023483366 "train" 10 0.1
"227" "3" 0.599109131403118 "test" 10 0.2
"228" "3" 0.753424657534247 "train" 10 0.2
"229" "3" 0.0757238307349666 "test" 100 0.05
"230" "3" 0.545988258317025 "train" 100 0.05
"231" "3" 0.0757238307349666 "test" 100 0.1
"232" "3" 0.544031311154599 "train" 100 0.1
"233" "3" 0.0757238307349666 "test" 100 0.2
"234" "3" 0.452054794520548 "train" 100 0.2
"235" "3" 0 "test" 1000 0.05
"236" "3" 0.682974559686888 "train" 1000 0.05
"237" "3" 0 "test" 1000 0.1
"238" "3" 0.426614481409002 "train" 1000 0.1
"239" "3" 0 "test" 1000 0.2
"240" "3" 0.557729941291585 "train" 1000 0.2
"241" "3" 0 "test" 10000 0.05
"242" "3" 0.207436399217221 "train" 10000 0.05
"243" "3" 0 "test" 10000 0.1
"244" "3" 0.383561643835616 "train" 10000 0.1
"245" "3" 0 "test" 10000 0.2
"246" "3" 0.790606653620352 "train" 10000 0.2
"247" "3" 0 "test" 1e+05 0.05
"248" "3" 0.223091976516634 "train" 1e+05 0.05
"249" "3" 0 "test" 1e+05 0.1
"250" "3" 0.414872798434442 "train" 1e+05 0.1
"251" "3" 0 "test" 1e+05 0.2
"252" "3" 0.792563600782779 "train" 1e+05 0.2
